Columna,Tipo_Dato,Valores_Faltantes,Valores_Presentes,%_Faltante,Categoría
away_yellow_red_card,object,345,3,99.13793103448276,Muy Problemática (>50%)
away_penalty_miss_long,object,341,7,97.98850574712644,Muy Problemática (>50%)
home_red_card,object,340,8,97.70114942528735,Muy Problemática (>50%)
home_penalty_shootout_miss_long,object,340,8,97.70114942528735,Muy Problemática (>50%)
home_yellow_red_card,object,340,8,97.70114942528735,Muy Problemática (>50%)
away_penalty_shootout_miss_long,object,338,10,97.12643678160919,Muy Problemática (>50%)
home_penalty,float64,337,11,96.83908045977012,Muy Problemática (>50%)
home_penalty_shootout_goal_long,object,337,11,96.83908045977012,Muy Problemática (>50%)
away_penalty,float64,337,11,96.83908045977012,Muy Problemática (>50%)
away_penalty_shootout_goal_long,object,337,11,96.83908045977012,Muy Problemática (>50%)
away_red_card,object,337,11,96.83908045977012,Muy Problemática (>50%)
home_penalty_miss_long,object,335,13,96.26436781609196,Muy Problemática (>50%)
away_own_goal,object,335,13,96.26436781609196,Muy Problemática (>50%)
home_own_goal,object,330,18,94.82758620689656,Muy Problemática (>50%)
Notes,object,328,20,94.25287356321839,Muy Problemática (>50%)
away_penalty_goal,object,313,35,89.9425287356322,Muy Problemática (>50%)
home_penalty_goal,object,294,54,84.48275862068965,Muy Problemática (>50%)
away_xg,float64,232,116,66.66666666666666,Muy Problemática (>50%)
home_xg,float64,232,116,66.66666666666666,Muy Problemática (>50%)
away_captain,object,180,168,51.724137931034484,Muy Problemática (>50%)
away_manager,object,180,168,51.724137931034484,Muy Problemática (>50%)
home_captain,object,180,168,51.724137931034484,Muy Problemática (>50%)
home_manager,object,180,168,51.724137931034484,Muy Problemática (>50%)
away_goal,object,148,200,42.5287356321839,Problemática (20-50%)
away_goal_long,object,148,200,42.5287356321839,Problemática (20-50%)
home_yellow_card_long,object,135,213,38.793103448275865,Problemática (20-50%)
away_yellow_card_long,object,118,230,33.90804597701149,Problemática (20-50%)
home_goal_long,object,96,252,27.586206896551722,Problemática (20-50%)
home_goal,object,96,252,27.586206896551722,Problemática (20-50%)
Referee,object,7,341,2.0114942528735633,Crítica (<5%)
away_substitute_in_long,object,5,343,1.4367816091954022,Crítica (<5%)
home_substitute_in_long,object,4,344,1.1494252873563218,Crítica (<5%)
Officials,object,3,345,0.8620689655172413,Crítica (<5%)
away_team,object,0,348,0.0,Crítica (<5%)
Year,int64,0,348,0.0,Crítica (<5%)
Host,object,0,348,0.0,Crítica (<5%)
Score,object,0,348,0.0,Crítica (<5%)
Date,object,0,348,0.0,Crítica (<5%)
Round,object,0,348,0.0,Crítica (<5%)
Venue,object,0,348,0.0,Crítica (<5%)
Attendance,int64,0,348,0.0,Crítica (<5%)
away_score,int64,0,348,0.0,Crítica (<5%)
home_score,int64,0,348,0.0,Crítica (<5%)
home_team,object,0,348,0.0,Crítica (<5%)
